BookName,Ch,V,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,V/Ch
Genesis,50,1533,31,25,24,26,32,22,24,22,29,32,32,20,18,24,21,16,27,33,38,18,34,24,20,67,34,35,46,22,35,43,55,32,20,31,29,43,36,30,23,23,57,38,34,34,28,34,31,22,33,26,30.66
Exodus,40,1213,22,25,22,31,23,30,25,32,35,29,10,51,22,31,27,36,16,27,25,26,37,30,33,18,40,37,21,43,46,38,18,35,23,35,35,38,29,31,43,38,,,,,,,,,,,30.33
Leviticus,27,859,17,16,17,35,19,30,38,36,24,20,47,8,59,57,33,34,16,30,37,27,24,33,44,23,55,46,34,,,,,,,,,,,,,,,,,,,,,,,,31.81
Numbers,36,1288,54,34,51,49,31,27,89,26,23,36,35,16,33,45,41,35,28,32,22,29,35,41,30,25,18,65,23,31,39,17,54,42,56,29,34,13,,,,,,,,,,,,,,,35.78
Deuteronomy,34,959,46,37,29,49,33,25,26,20,29,22,32,32,18,29,23,22,20,22,21,20,23,30,25,22,19,19,26,68,29,20,30,52,29,12,,,,,,,,,,,,,,,,,28.21
Joshua,24,658,18,24,17,24,15,27,26,35,27,43,23,24,33,15,63,10,18,28,51,9,45,34,16,33,,,,,,,,,,,,,,,,,,,,,,,,,,,27.42
Judges,21,618,36,23,31,24,31,40,25,35,57,18,40,15,25,20,20,31,13,31,30,48,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.43
Ruth,4,85,22,23,18,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.25
1 Samuel,31,810,28,36,21,22,12,21,17,22,27,27,15,25,23,52,35,23,58,30,24,42,15,23,29,22,44,25,12,25,11,31,13,,,,,,,,,,,,,,,,,,,,26.13
2 Samuel,24,695,27,32,39,12,25,23,29,18,13,19,27,31,39,33,37,23,29,33,43,26,22,51,39,25,,,,,,,,,,,,,,,,,,,,,,,,,,,28.96
1 Kings,22,816,53,46,28,34,18,38,51,66,28,29,43,33,34,31,34,34,24,46,21,43,29,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.09
2 Kings,25,719,18,25,27,44,27,33,20,29,37,36,21,21,25,29,38,20,41,37,37,21,26,20,37,20,30,,,,,,,,,,,,,,,,,,,,,,,,,,28.76
1 Chronicles,29,942,54,55,24,43,26,81,40,40,44,14,47,40,14,17,29,43,27,17,19,8,30,19,32,31,31,32,34,21,30,,,,,,,,,,,,,,,,,,,,,,32.48
2 Chronicles,36,822,17,18,17,22,14,42,22,18,31,19,23,16,22,15,19,14,19,34,11,37,20,12,21,27,28,23,9,27,36,27,21,33,25,33,27,23,,,,,,,,,,,,,,,22.83
Ezra,10,280,11,70,13,24,17,22,28,36,15,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.00
Nehemiah,13,406,11,20,32,23,19,19,73,18,37,40,36,47,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.23
Esther,10,167,22,23,15,17,14,14,10,17,32,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.70
Job,42,1070,22,13,26,21,27,30,21,22,35,22,20,25,28,22,35,22,16,21,29,29,34,30,17,25,6,14,23,28,25,31,40,22,33,37,16,33,24,41,30,24,34,17,,,,,,,,,25.48
Psalms (1-50),,,6,12,8,8,12,10,17,9,20,18,7,8,6,7,5,11,15,50,14,9,13,31,6,10,22,12,14,9,11,12,24,11,22,22,28,12,40,22,13,17,13,11,5,26,17,11,9,14,20,23,
Psalms (51-100),,,19,9,6,7,23,13,11,11,17,12,8,12,11,10,13,20,7,35,36,5,24,20,28,23,10,12,20,72,13,19,16,8,18,12,13,17,7,18,52,17,16,15,5,23,11,13,12,9,9,5,
Psalms (101-150),150,2461,8,28,22,35,45,48,43,13,31,7,10,10,9,8,18,19,2,29,176,7,8,9,4,8,5,6,5,6,8,8,3,18,3,3,21,26,9,8,24,13,10,7,12,15,21,10,20,14,9,6,16.41
Proverbs,31,915,33,22,35,27,23,35,27,36,18,32,31,28,25,35,33,33,28,24,29,30,31,29,35,34,28,28,27,28,27,33,31,,,,,,,,,,,,,,,,,,,,29.52
Ecclesiastes,12,222,18,26,22,16,20,12,29,17,18,20,10,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.50
