Day,Portion,Verses,Chapters,AV,AC
Day 1,Matthew 1 - 4,90.0,4,90.0,4.0
Day 2,Matthew 5 - 6,82.0,2,86.0,3.0
Day 3,Matthew 7 - 9,101.0,3,91.0,3.0
Day 4,Matthew 10 - 12:25,97.0,2,92.5,2.75
Day 5,Matthew 12:26  - 13,83.0,2,90.6,2.6
Day 6,Matthew 14 - 16,103.0,3,92.67,2.67
Day 7,Matthew 17 - 19,92.0,3,92.57,2.71
Day 8,Matthew 20 - 21,80.0,2,91.0,2.62
Day 9,Matthew 22 - 23,85.0,2,90.33,2.56
Day 10,Matthew 24 - 25,97.0,2,91.0,2.5
Day 11,Matthew 26 - 27:33,108.0,1,92.55,2.36
Day 12,Matthew 27:34  - Mark 1,98.0,3,93.0,2.42
Day 13,Mark 2 - 4,104.0,3,93.85,2.46
Day 14,Mark 5 - 6,99.0,2,94.21,2.43
Day 15,Mark 7 - 9:25,100.0,2,94.6,2.4
Day 16,Mark 9:26  - 11:16,93.0,2,94.5,2.38
Day 17,Mark 11:17  - 13,98.0,3,94.71,2.41
Day 18,Mark 14 - 15:23,95.0,1,94.72,2.33
Day 19,Mark 15:24  - Luke 1:40,84.0,2,94.16,2.32
Day 20,Luke 1:41  - 2,92.0,2,94.05,2.3
Day 21,Luke 3 - 4,82.0,2,93.48,2.29
Day 22,Luke 5 - 6,88.0,2,93.23,2.27
Day 23,Luke 7 - 8:28,78.0,1,92.57,2.22
Day 24,Luke 8:29  - 9,90.0,2,92.46,2.21
Day 25,Luke 10 - 11,96.0,2,92.6,2.2
Day 26,Luke 12 - 13,94.0,2,92.65,2.19
Day 27,Luke 14 - 16,98.0,3,92.85,2.22
Day 28,Luke 17 - 18,80.0,2,92.39,2.21
Day 29,Luke 19 - 20,95.0,2,92.48,2.21
Day 30,Luke 21 - 22:35,73.0,1,91.83,2.17
Day 31,Luke 22:36  - 23,92.0,2,91.84,2.16
Day 32,Luke 24 - John 1,104.0,2,92.22,2.16
Day 33,John 2 - 4:27,88.0,2,92.09,2.15
Day 34,John 4:28  - 6:35,109.0,2,92.59,2.15
Day 35,John 6:36  - 7,89.0,2,92.49,2.14
Day 36,John 8 - 9,100.0,2,92.69,2.14
Day 37,John 10 - 11,99.0,2,92.86,2.14
Day 38,John 12 - 13,88.0,2,92.74,2.13
Day 39,John 14 - 16,91.0,3,92.69,2.15
Day 40,John 17 - 19:21,87.0,2,92.55,2.15
Day 41,John 19:22  - Acts 1,103.0,4,92.8,2.2
Day 42,Acts 2 - 4:18,91.0,2,92.76,2.19
Day 43,Acts 4:19  - 7:30,106.0,3,93.07,2.21
Day 44,Acts 7:31  - 9:21,91.0,2,93.02,2.2
Day 45,Acts 9:22  - 11,100.0,3,93.18,2.22
Day 46,Acts 12 - 14,105.0,3,93.43,2.24
Day 47,Acts 15 - 16,81.0,2,93.17,2.23
Day 48,Acts 17 - 19,102.0,3,93.35,2.25
Day 49,Acts 20 - 22:15,93.0,2,93.35,2.24
Day 50,Acts 22:16  - 25,104.0,4,93.56,2.28
Day 51,Acts 26 - 28:15,91.0,2,93.51,2.27
Day 52,Acts 28:16  - Romans 3:15,92.0,3,93.48,2.29
Day 53,Romans 3:16  - 6,85.0,4,93.32,2.32
Day 54,Romans 7 - 9,97.0,3,93.39,2.33
Day 55,Romans 10 - 13,92.0,4,93.36,2.36
Day 56,Romans 14 - 16,83.0,3,93.18,2.38
Day 57,1 Corinthians 1 - 5,104.0,5,93.37,2.42
Day 58,1 Corinthians 6 - 9,100.0,4,93.48,2.45
Day 59,1 Corinthians 10 - 12,98.0,3,93.56,2.46
Day 60,1 Corinthians 13 - 15:29,82.0,2,93.37,2.45
Day 61,1 Corinthians 15:30  - 2 Corinthians 2,94.0,4,93.38,2.48
Day 62,2 Corinthians 3 - 7,91.0,5,93.34,2.52
Day 63,2 Corinthians 8 - 11,90.0,4,93.29,2.54
Day 64,2 Corinthians 12 - Galatians 3:14,93.0,4,93.28,2.56
Day 65,Galatians 3:15  - 6,90.0,4,93.23,2.58
Day 66,Ephesians 1 - 4,98.0,4,93.3,2.61
Day 67,Ephesians 5 - Philippians 1,87.0,3,93.21,2.61
Day 68,Philippians 2 - Colossians 1,103.0,4,93.35,2.63
Day 69,Colossians 2 - 1 Thessalonians 2,96.0,5,93.39,2.67
Day 70,1 Thessalonians 3 - 2 Thessalonians 2,88.0,5,93.31,2.7
Day 71,2 Thessalonians 3 - 1 Timothy 4,85.0,5,93.2,2.73
Day 72,1 Timothy 5 - 2 Timothy 2,90.0,4,93.15,2.75
Day 73,2 Timothy 3 - Titus 3,85.0,5,93.04,2.78
Day 74,Philemon 1 - Hebrews 4,92.0,5,93.03,2.81
Day 75,Hebrews 5 - 9,103.0,5,93.16,2.84
Day 76,Hebrews 10 - 12:14,93.0,2,93.16,2.83
Day 77,Hebrews 12:15  - James 2,93.0,4,93.16,2.84
Day 78,James 3 - 1 Peter 2,105.0,5,93.31,2.87
Day 79,1 Peter 3 - 2 Peter 2,98.0,5,93.37,2.9
Day 80,2 Peter 3 - 1 John 4,102.0,5,93.48,2.92
Day 81,1 John 5 - Revelation 1,94.0,5,93.48,2.95
Day 82,Revelation 2 - 6,93.0,5,93.48,2.98
Day 83,Revelation 7 - 12,98.0,6,93.53,3.01
Day 84,Revelation 13 - 17,85.0,5,93.43,3.04
Day 85,Revelation 18 - 21,87.0,4,93.35,3.05
Day 86,Revelation 22 ,21.0,1,92.51,3.02
Day 87,Genesis 1 - 3,80.0,3,80.0,3.0
Day 88,Genesis 4 - 6,80.0,3,80.0,3.0
Day 89,Genesis 7 - 9,75.0,3,78.33,3.0
Day 90,Genesis 10 - 12,84.0,3,79.75,3.0
Day 91,Genesis 13 - 16,79.0,4,79.6,3.2
Day 92,Genesis 17 - 19:19,79.0,2,79.5,3.0
Day 93,Genesis 19:20  - 21,71.0,3,78.29,3.0
Day 94,Genesis 22 - 24:33,77.0,2,78.12,2.88
Day 95,Genesis 24:34  - 26:17,85.0,2,78.89,2.78
Day 96,Genesis 26:18  - 28,86.0,3,79.6,2.8
Day 97,Genesis 29 - 30,78.0,2,79.45,2.73
Day 98,Genesis 31 - 32,87.0,2,80.08,2.67
Day 99,Genesis 33 - 35,80.0,3,80.08,2.69
Day 100,Genesis 36 - 37,79.0,2,80.0,2.64
Day 101,Genesis 38 - 40,76.0,3,79.73,2.67
Day 102,Genesis 41 - 42:19,76.0,1,79.5,2.56
Day 103,Genesis 42:20  - 44,87.0,3,79.94,2.59
Day 104,Genesis 45 - 47,93.0,3,80.67,2.61
Day 105,Genesis 48 - 50,81.0,3,80.68,2.63
Day 106,Exodus 1 - 4:15,84.0,3,80.85,2.65
Day 107,Exodus 4:16  - 7,94.0,4,81.48,2.71
Day 108,Exodus 8 - 10:14,81.0,2,81.45,2.68
Day 109,Exodus 10:15  - 12,76.0,3,81.22,2.7
Day 110,Exodus 13 - 15,80.0,3,81.17,2.71
Day 111,Exodus 16 - 18,79.0,3,81.08,2.72
Day 112,Exodus 19 - 21,88.0,3,81.35,2.73
Day 113,Exodus 22 - 24,81.0,3,81.33,2.74
Day 114,Exodus 25 - 26,77.0,2,81.18,2.71
Day 115,Exodus 27 - 29:23,87.0,2,81.38,2.69
Day 116,Exodus 29:24  - 31,79.0,3,81.3,2.7
Day 117,Exodus 32 - 34,93.0,3,81.68,2.71
Day 118,Exodus 35 - 36,73.0,2,81.41,2.69
Day 119,Exodus 37 - 39:21,81.0,2,81.39,2.67
Day 120,Exodus 39:22  - Leviticus 2,93.0,4,81.74,2.71
Day 121,Leviticus 3 - 5,71.0,3,81.43,2.71
Day 122,Leviticus 6 - 8:18,86.0,2,81.56,2.69
Day 123,Leviticus 8:19  - 11:23,85.0,3,81.65,2.7
Day 124,Leviticus 11:24  - 13,91.0,3,81.89,2.71
Day 125,Leviticus 14 - 15,90.0,2,82.1,2.69
Day 126,Leviticus 16 - 18,80.0,3,82.05,2.7
Day 127,Leviticus 19 - 21,88.0,3,82.2,2.71
Day 128,Leviticus 22 - 23,77.0,2,82.07,2.69
Day 129,Leviticus 24 - 25,78.0,2,81.98,2.67
Day 130,Leviticus 26 - 27,80.0,2,81.93,2.66
Day 131,Numbers 1 - 2,88.0,2,82.07,2.64
Day 132,Numbers 3 - 4:24,75.0,1,81.91,2.61
Day 133,Numbers 4:25  - 6,83.0,3,81.94,2.62
Day 134,Numbers 7 ,89.0,1,82.08,2.58
Day 135,Numbers 8 - 10,85.0,3,82.14,2.59
Day 136,Numbers 11 - 13,84.0,3,82.18,2.6
Day 137,Numbers 14 - 15,86.0,2,82.25,2.59
Day 138,Numbers 16 - 18:16,79.0,2,82.19,2.58
Day 139,Numbers 18:17  - 21:17,84.0,3,82.23,2.58
Day 140,Numbers 21:18  - 23,89.0,3,82.35,2.59
Day 141,Numbers 24 - 26:32,75.0,2,82.22,2.58
Day 142,Numbers 26:33  - 28,87.0,3,82.3,2.59
Day 143,Numbers 29 - 31:27,83.0,2,82.32,2.58
Day 144,Numbers 31:28  - 33:28,97.0,2,82.57,2.57
Day 145,Numbers 33:29  - 35,91.0,3,82.71,2.58
Day 146,Numbers 36 - Deuteronomy 2:18,77.0,2,82.62,2.57
Day 147,Deuteronomy 2:19  - 4:24,72.0,2,82.44,2.56
Day 148,Deuteronomy 4:25  - 6,83.0,3,82.45,2.56
Day 149,Deuteronomy 7 - 9,75.0,3,82.33,2.57
Day 150,Deuteronomy 10 - 12,86.0,3,82.39,2.58
Day 151,Deuteronomy 13 - 16,92.0,4,82.54,2.6
Day 152,Deuteronomy 17 - 20,83.0,4,82.55,2.62
Day 153,Deuteronomy 21 - 23,78.0,3,82.48,2.63
Day 154,Deuteronomy 24 - 27,86.0,4,82.53,2.65
Day 155,Deuteronomy 28 - 29:14,82.0,1,82.52,2.62
Day 156,Deuteronomy 29:15  - 32:26,91.0,3,82.64,2.63
Day 157,Deuteronomy 32:27  - Joshua 1,85.0,4,82.68,2.65
Day 158,Joshua 2 - 5,80.0,4,82.64,2.67
Day 159,Joshua 6 - 8,88.0,3,82.71,2.67
Day 160,Joshua 9 - 11,93.0,3,82.85,2.68
Day 161,Joshua 12 - 14,72.0,3,82.71,2.68
Day 162,Joshua 15 - 17,91.0,3,82.82,2.68
Day 163,Joshua 18 - 20,88.0,3,82.88,2.69
Day 164,Joshua 21 - 22,79.0,2,82.83,2.68
Day 165,Joshua 23 - Judges 1,85.0,3,82.86,2.68
Day 166,Judges 2 - 4,78.0,3,82.8,2.69
Day 167,Judges 5 - 6,71.0,2,82.65,2.68
Day 168,Judges 7 - 9:28,88.0,2,82.72,2.67
Day 169,Judges 9:29  - 11,87.0,3,82.77,2.67
Day 170,Judges 12 - 15,80.0,4,82.74,2.69
Day 171,Judges 16 - 18,75.0,3,82.65,2.69
Day 172,Judges 19 - 20,78.0,2,82.59,2.69
